=== Delete Benchmarks (3 impls, dense+moderate, GoSet+RoaringSet sparse+extreme, benchtime=10x) ===
BenchmarkDelete/BitArraySet/dense/random/n=1000000-16             	       1	   1493924 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/moderate/contiguous/n=1000000-16            	       1	  57116666 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/moderate/contiguous/n=1000000-16       	       1	  16125265 ns/op	   16880 B/op	      32 allocs/op
BenchmarkDelete/BitArraySet/moderate/contiguous/n=1000000-16      	       1	   1797609 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/moderate/random/n=1000000-16                	       1	  57586669 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/moderate/random/n=1000000-16           	       1	  86901387 ns/op	 1248832 B/op	     304 allocs/op
BenchmarkDelete/BitArraySet/moderate/random/n=1000000-16          	       1	   1604152 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/sparse/contiguous/n=1000000-16              	       1	  53075172 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/sparse/contiguous/n=1000000-16         	       1	  15710723 ns/op	   16880 B/op	      32 allocs/op
BenchmarkDelete/GoSet/sparse/random/n=1000000-16                  	       1	  56138009 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/sparse/random/n=1000000-16             	       1	 131798332 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/extreme/contiguous/n=1000000-16             	       1	  54904639 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/extreme/contiguous/n=1000000-16        	       1	  19766067 ns/op	    8704 B/op	      32 allocs/op
BenchmarkDelete/GoSet/extreme/random/n=1000000-16                 	       1	  58843519 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/extreme/random/n=1000000-16            	       1	 656308676 ns/op	       0 B/op	       0 allocs/op
