goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=16-16                       	20315346	        75.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=16-16      	40389637	        44.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=16-16                                	15553562	        78.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=32-16                       	21988411	        67.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=32-16      	50860737	        66.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=32-16                                	20529616	        92.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=64-16                       	19411202	        66.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=64-16      	28952644	        51.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=64-16                                	33957457	        39.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=128-16                      	23250788	        50.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=128-16     	24880657	        62.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=128-16                               	26617555	       116.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=256-16                      	17828755	        72.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=256-16     	16036998	        92.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500000/keysize=256-16                               	20594961	       134.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=16-16                      	28089940	        53.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=16-16     	39602223	        47.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=16-16                               	31686318	        64.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=32-16                      	24674889	        91.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=32-16     	40918219	        47.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=32-16                               	28701531	        50.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=64-16                      	24372874	       116.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=64-16     	26972150	        64.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=64-16                               	29774577	        42.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=128-16                     	23665783	        51.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=128-16    	22382658	        62.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=128-16                              	23960247	        51.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=1000000/keysize=256-16                     	19151515	        69.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=256-16    	13228119	       101.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=1000000/keysize=256-16                              	19187638	        73.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=16-16                         	11120582	       104.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=16-16        	39862257	        57.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=16-16                                  	33005985	        38.51 ns/op	      67 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=32-16                         	11242377	       103.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=32-16        	36042699	        34.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500/keysize=32-16                                  	32313886	        42.48 ns/op	      67 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500/keysize=64-16                         	11521339	       100.8 ns/op	       0 B/op	       0 allocs/op
