goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=1-16                          	 9055881	       135.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=4-16                          	 6750972	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=16-16                         	13640674	        93.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=32-16                         	14927569	        71.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=64-16                         	25689231	        48.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=1-16                         	 9390122	       124.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=4-16                         	 7639210	       166.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=16-16                        	13302315	        86.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=32-16                        	18793699	        63.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=64-16                        	23930448	        48.07 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	nextgen	132.748s
